100,100
200,98
300,96
400,98
500,98
600,96
700,96
800,97
900,96
1000,96
1100,99
1200,96
1300,98
1400,91
1500,98
1600,96
1700,97
1800,98
1900,100
2000,97
2100,96
2200,95
2300,99
2400,93
2500,93
2600,95
2700,98
2800,94
2900,91
3000,92
3100,98
3200,98
3300,98
3400,93
3500,88
3600,96
3700,86
3800,91
3900,89
4000,88
4100,95
4200,99
4300,97
4400,91
4500,93
4600,95
4700,98
4800,96
4900,92
5000,92
5100,95
5200,97
5300,91
5400,95
5500,98
5600,99
5700,93
5800,97
5900,90
6000,86
6100,90
6200,84
6300,92
6400,93
6500,83
6600,92
6700,86
6800,95
6900,97
7000,94
7100,95
7200,96
7300,91
7400,96
7500,98
7600,97
7700,97
7800,98
7900,92
8000,93
8100,89
8200,90
8300,83
8400,84
8500,87
8600,92
8700,97
8800,97
8900,96
9000,98
9100,98
9200,94
9300,97
9400,97
9500,94
9600,89
9700,93
9800,95
9900,96
10000,89
